developer,owners
Utopia Dream Entertainment Alliance (Pty) Ltd - South Africa,200000
Victor Möller,200000
Helmet Games,200000
"HANBITSOFT, INC.",200000
Fate Dragon Studio,200000
Jesper van den Ende,200000
Viking Tao,200000
Fallen Snow Studios,200000
Vile Monarch,200000
FX Games Media,200000
Jeroen van Oosten,200000
Dream Execution,200000
Toasty Leaf AB,200000
Flaming Fowl Studios,200000
Flatbox Studios,200000
The Simutrans Team,200000
Funnel Inc.,200000
Flow Fire Games,200000
Top Right Corner,200000
Improx Games,200000
Vasily Voronkov,200000
LUCKY GIRLS LIMITED,200000
Fox Dawn,200000
Foxoft,200000
The Men Who Wear Many Hats,200000
Frogwares,200000
Frogsong Studios AB,200000
Kubold,200000
"FAT BOMB STUDIOS, LLC",200000
Trilum Studios,200000
Hong Kong Netease Interactive Entertainment Limited,200000
East Side Games,200000
Herrero Games,200000
Ediogames,200000
Glowstick Entertainment,200000
Egidijus Bachur,200000
Eidos Montreal,200000
Keinart Lobre,200000
TEAM101,200000
Glacier Labs,200000
Tactic Studios Inc.,200000
Empires,200000
Homewreckers Studio,200000
Konrad Burandt,200000
Envision Entertainment,200000
Gehrig Gosslin,200000
Kokua Games,200000
Tamationgames,200000
Just Fishing LLC,200000
Jurgen Hoogeboom,200000
Essence Ltd.,200000
Ultima Games,200000
Think Arcade,200000
Underdog Games,200000
Exozet,200000
IDHAS Studios,200000
Joppe de Graaf,200000
Virgin Interactive Entertainment,200000
IIchan Eroge Team,200000
Extrokold Games,200000
Team Eleven,200000
"Wevr, Inc.",200000
Springloaded,200000
Dorado Games,200000
BOT Jungle Productions,200000
NetEase Games,200000
Netease Games,200000
Blam! Games LLC,200000
Blackbird Interactive,200000
SimTex,200000
iBlackpen,200000
No Moon,200000
Obsidian Entertainment,200000
Oleg Skutte,200000
"Shanghai JingCai Computer Software Development Co., Ltd",200000
ShadowWolf Games,200000
Oomst Games,200000
Shadow Masters,200000
Oryx Design Lab,200000
Osarion,200000
Bad Pixel,200000
Seventh Heart Studios,200000
Overhead Games,200000
BYU Animation -  Class of 2017,200000
Sir Bedlam Productions,200000
Neoclassic Games,200000
Sir-Tech,200000
SoftStar,200000
Cloak and Dagger Games,200000
Cleversan Software,200000
Mi'pu'mi Games GmbH,200000
Spark Plug Games,200000
Milan Kazarka,200000
Zakos Games,200000
Zeiva Inc,200000
Zen Studios,200000
"ZiMAD, Inc.",200000
Broken Games,200000
Mojang,200000
Carmine T. Guida,200000
Zykov Eddy,200000
Cadence Games,200000
SmoleVN,200000
Mountaineer,200000
CAT IN JAR GAMES,200000
candyrocketstudio,200000
PIXOWL INC.,200000
Paper Crane Games,200000
CoaguCo Industries,200000
Avallon Alliance,200000
Random Seed Games,200000
Acke Hallgren,200000
Ryan Joseph,200000
Red Team Games,200000
Red Unit Studios,200000
Reentry Games,200000
AHA Entertainment,200000
猫薄荷制作组,200000
Remar Games,200000
"Revival Productions, LLC",200000
Rubicon Development,200000
"Riposte Games & Co, Inc",200000
Robert Yang,200000
3X Entertainment Limited,200000
Robot Loves Kitty,200000
Robot Riot UG (haftungsbeschränkt),200000
"Rock Wall Games, LLC",200000
2Chance Projects,200000
Roel van Beek,200000
Quicksilver Software,200000
Alexey Davydov,200000
"AltspaceVR, Inc.",200000
"PigDogGames,LLC",200000
realities.io,200000
Pavel Kostin,200000
Paweł Radej,200000
Atom Republic,200000
Sebastian Krzyszkowiak,200000
Peoleo Entertainment,200000
Peter Brinson and Kurosh ValaNejad,200000
Peter Kosyh,200000
Pixel Federation,200000
PriitK,200000
Archetype Studios,200000
Scarlet String Studios,200000
u&i,200000
Play:D,200000
Playcoo,200000
Sandbox Interactive GmbH,200000
Anate Studio,200000
あみそ組,200000
Metaware,200000
Sirhaian,200000
Dicesuki,200000
Spicy Horse Games,200000
Cosmo D,200000
Suits & Sandals,200000
Computer Lunch,200000
Llama Software,200000
Lei,200000
Lord_Loej,200000
Spellbook,200000
Digital Eel,200000
Magic Pixel Kft.,200000
Xitilon,200000
Ludosity,200000
Yarvo Productions,200000
Lemonsucker Games,200000
CreateVR,200000
DiP Online,200000
Masangsoft,200000
Matt Roszak,200000
Stanislaw Truchowski,200000
WhiteMoon Dreams,200000
Limasse Five,200000
DONTNOD ELEVEN,200000
Stephane Bottin,200000
Dmitry Medvedev,200000
Luminy Studios,200000
Mediatonic,200000
D.C.S,200000
Landfall,200000
Cultura guru,200000
DeXP,200000
Demon Wagon Studios,200000
DESTINYbit,200000
Laserboys3000,200000
Dinosaur Games,200000
Autotelic Games LLC,170000
Kiz Studios,170000
Hijong Park,160000
Kite & Lightning,150000
mPower Games Studio,150000
Träumendes Mädchen,150000
SOFTON ENTERTAINMENT,150000
Mikeypoo's Games,150000
BBC Media Applications Technologies Limited,150000
studio wasp,140000
"CyberStep, Inc.",120000
Emblematic Group,120000
Konstructors Entertainment,120000
IronEqual,120000
"CINEMAX, s.r.o.",120000
Ithaqua Labs,120000
Coconut Shavers,120000
HiTech Creations Inc.,120000
IVR,120000
DYNAMICNEXT,120000
AAAGAMES,120000
Charlie Behan,120000
Kyy Games,120000
Dark Gaia Studios,120000
VirZOOM,120000
Felip Guimerà,120000
Jeff Trier,120000
Fun Games For Free,120000
Playsoft,100000
Pelican Party Studios,100000
The Strangers,100000
Lycanic Studios,100000
Kevin van Huit,100000
Struckd AG,100000
Sedat Bilen,100000
Play Cute,100000
Penrose Studios,100000
Saucer Software,100000
"Suzhou DaYu Network Technology Co., Ltd.",100000
Plaisir Nzuzi,100000
Lucid Games Ltd,100000
Lukas Schönwiese,100000
Schrolab,100000
Lucky VR Inc.,100000
Point Bleep Studios,100000
Ludeme Games,100000
Phaedruns,100000
Theory Georgiou,100000
PuzzleRoo,100000
PokerStars Mobile Limited,100000
Little Big MMO,100000
Subsoap,100000
HelloEnjoy,100000
HellconX© Studio's,100000
Runewaker Entertainment,100000
Retora Games,100000
Hangzhou NezhaGames,100000
Roger Barton,100000
LEAP Game Studios,100000
Sunfleck Software,100000
Rotateam,100000
Robert Pelloni,100000
Hammerhead VR,100000
Half Full Nelson,100000
Tomorrow Arts,100000
LIV Inc,100000
Leadwerks Software,100000
Rock Crow,100000
RocketSnail,100000
Labory,100000
Red Nettle Studio,100000
SDEnterNET,100000
SEROSOO,100000
Proximity Games,100000
Thomas Bacon,100000
Poppy de Raad,100000
Thomas Kern,100000
Portalarium,100000
Huge Robot,100000
House of Secrets,100000
Studio Evil,100000
Priyam Parikh,100000
Surreal Games,100000
SG Data,100000
Parallaxian Pty Ltd,100000
Light Vision Interactive,100000
Rainbow Games,100000
Rainbow Goats Studio,100000
Life Forge Team,100000
Ratloop Games Canada,100000
Raul Bravo,100000
Raum Studio,100000
Parallel Space Inc,100000
Inception Soft,100000
MGAME Corporation,100000
Paladin Studios,100000
Minus2,100000
Mirinae,100000
Something Dark Studios,100000
Spicy Horse,100000
Jimmy Maidens,100000
Max Geraci,100000
Monkeys Tales Studio,100000
TeamTop Games,100000
Technomancy Studios,100000
