dayofyear;2013;2014;2015;2016;2017;2018
33;;88129.04166666667;102170.625;89912.41666666667;94967.33333333333;104044.54166666667
34;;100819.625;109310.25;87940.625;101243.95833333333;95012.41666666667
35;;106670.08333333333;102222.0;90076.29166666667;97283.625;103150.54166666667
36;;103875.375;106413.875;95283.08333333333;87941.54166666667;104177.5
37;;107500.58333333333;112181.5;90224.45833333333;89603.875;103269.08333333333
38;;108259.95833333333;94088.58333333333;87493.75;85830.875;103894.91666666667
39;;103513.20833333333;84551.58333333333;94577.54166666667;84773.20833333333;101816.41666666667
40;;100062.83333333333;97202.875;101156.0;97884.66666666667;89292.08333333333
41;;109884.08333333333;104240.08333333333;106041.0;103408.41666666667;83291.75
42;;114833.45833333333;102590.375;111203.25;84062.375;92060.75
43;;116723.58333333333;105525.125;111076.29166666667;79018.375;98452.75
44;;107929.79166666667;114926.79166666667;108451.45833333333;91976.125;92028.54166666667
45;;100939.58333333333;105860.58333333333;110214.95833333333;93799.08333333333;84278.45833333333
46;;98445.20833333333;116698.08333333333;110092.25;93092.91666666667;84194.33333333333
47;;98799.75;125554.875;98742.25;97601.95833333333;89463.16666666667
48;;106653.625;117016.25;96908.625;92142.41666666667;84108.08333333333
49;;99838.16666666667;116555.375;98617.41666666667;78534.25;89396.125
50;;94319.95833333333;126590.79166666667;97031.16666666667;71300.16666666667;82237.70833333333
51;;93743.125;129698.45833333333;79123.20833333333;79909.625;81870.08333333333
52;;91206.375;114227.70833333333;76287.66666666667;83367.79166666667;85470.0
53;;85537.83333333333;96254.83333333333;86593.54166666667;82031.41666666667;86579.75
54;;83292.125;110413.125;91305.91666666667;79981.29166666667;78903.16666666667
55;;97149.41666666667;119800.875;90357.70833333333;78321.29166666667;76768.58333333333
56;;104870.33333333333;109093.45833333333;92327.08333333333;74667.58333333333;84944.91666666667
57;;108104.66666666667;108508.41666666667;95923.25;79669.08333333333;86698.33333333333
58;;111102.41666666667;109866.25;87727.375;88344.125;84529.16666666667
59;;112743.70833333333;106084.75;78893.625;83938.625;84888.83333333333
60;;97996.70833333333;101979.5;83418.375;80919.91666666667;89298.91666666667
61;;92372.20833333333;101417.5;86815.29166666667;86251.20833333333;84198.5
62;;111179.70833333333;105604.95833333333;91430.25;93282.79166666667;82366.41666666667
63;;114003.0;98027.79166666667;98029.95833333333;90503.83333333333;92207.54166666667
64;;105703.0;106157.83333333333;96262.16666666667;87508.41666666667;92208.625
65;;105306.29166666667;112721.04166666667;87842.5;88950.45833333333;93741.66666666667
66;;99499.875;99495.70833333333;82739.75;83549.04166666667;96084.16666666667
67;;87079.16666666667;85084.73913043478;86635.20833333333;81594.0;95979.91666666667
68;;82876.47826086957;89162.08333333333;80607.375;81946.16666666667;87721.04166666667
69;;90168.33333333333;90253.91666666667;79129.79166666667;88294.58333333333;83894.47826086957
70;;85462.78260869565;85696.04166666667;79452.33333333333;91881.625;95255.16666666667
71;;88589.04166666667;86989.95833333333;78054.875;89921.82608695653;96839.79166666667
72;;103487.33333333333;88728.70833333333;72454.625;97906.5;98604.66666666667
73;;96325.75;80733.41666666667;71402.73913043478;99786.625;94082.83333333333
74;;79855.25;78381.04166666667;80857.29166666667;107352.41666666667;92404.83333333333
75;;86344.375;85926.58333333333;80782.0;100801.70833333333;87457.83333333333
76;;102682.58333333333;83787.04166666667;79509.25;95730.16666666667;79978.91666666667
77;;97250.25;90887.29166666667;78954.625;84326.0;86664.5
78;;93773.66666666667;91292.58333333333;79134.125;81328.58333333333;94259.16666666667
79;;89518.25;92636.29166666667;78206.95833333333;87999.29166666667;98466.04166666667
80;;87728.41666666667;81914.125;80343.95833333333;83404.33333333333;93975.5
81;;78925.0;78703.20833333333;87390.83333333333;87355.16666666667;90885.375
82;;82228.58333333333;91548.29166666667;85279.66666666667;92238.20833333333;85856.91666666667
83;;98014.70833333333;92544.25;79743.125;85148.95833333333;83677.20833333333
84;;100891.33333333333;91078.91666666667;78418.5;72682.70833333333;89421.58333333333
85;;101364.41666666667;86135.20833333333;75042.0;72287.25;90011.29166666667
86;;98056.91666666667;88735.20833333333;70862.91666666667;79944.75;85122.79166666667
87;;86996.625;89875.125;68506.125;80200.79166666667;81273.54166666667
88;;80412.58333333333;87946.45833333333;77745.625;79410.70833333333;77556.70833333333
89;;82171.75;87289.04166666667;79803.625;82298.16666666667;75426.41666666667
90;;87358.625;85356.83333333333;81099.20833333333;83353.20833333333;71915.875
91;;83540.29166666667;84384.375;78258.58333333333;76052.625;84132.08333333333
92;;82544.375;82513.375;77271.45833333333;72174.08333333333;86367.66666666667
93;;82891.66666666667;75329.625;72445.625;79024.125;85017.08333333333
94;;83211.66666666667;72014.0;75391.79166666667;79174.70833333333;88308.70833333333
95;;76863.54166666667;70713.29166666667;82985.29166666667;78817.75;85175.16666666667
96;;75482.625;78931.75;87729.29166666667;81495.08333333333;81679.70833333333
97;;85596.125;80043.75;87622.5;84857.70833333333;81895.33333333333
98;;82501.625;81963.375;83123.0;76096.58333333333;90542.5
99;;81683.375;84500.25;84267.45833333333;70666.08333333333;87702.0
100;;81423.83333333333;81162.375;83307.75;77509.125;85194.875
101;;78549.5;71746.75;81270.54166666667;78956.79166666667;80827.5
102;;71602.79166666667;70418.75;81867.875;78637.625;77945.25
103;;70001.54166666667;78438.91666666667;80073.75;76500.0;74234.91666666667
104;;80002.125;78288.91666666667;81412.91666666667;72511.875;73817.70833333333
105;;84431.83333333333;78397.58333333333;80620.20833333333;69305.20833333333;85389.875
106;;88391.41666666667;78533.25;77874.54166666667;69765.33333333333;89359.95833333333
107;;84779.5;78201.04166666667;70294.54166666667;77060.5;85582.25
108;;77926.5;71194.41666666667;68733.91666666667;76777.29166666667;84060.0
109;;71571.79166666667;67910.375;78832.58333333333;77915.125;82899.75
110;;67862.08333333333;79013.83333333333;78381.875;80462.16666666667;74904.04166666667
111;;78396.75;78323.20833333333;77341.66666666667;78727.45833333333;68806.58333333333
112;;78549.16666666667;80176.16666666667;77827.45833333333;70971.41666666667;77107.33333333333
113;;79442.375;82162.5;77165.625;68507.25;75244.625
