developer,owners
Anatoliy Loginovskikh,1930000
Home Net Games,1900000
WayForward,1870000
Humongous Entertainment,1860000
Quiet River,1820000
Tero Lunkka,1820000
Mihai Morosanu,1780000
Cobra Mobile,1770000
VGstudio,1760000
DrinkBox Studios,1750000
Alientrap,1720000
MumboJumbo,1720000
Compile Heart,1720000
Google,1710000
MercurySteam,1700000
Revolution Software Ltd,1700000
KADOKAWA,1700000
Panda Indie Studio,1700000
NukGames,1700000
VaragtP,1640000
Cherry Pop Games,1620000
"Dejobaan Games, LLC",1620000
Owlchemy Labs,1620000
Studio Pixel,1600000
Airtight Games,1600000
Image & Form Games,1600000
Team Reptile,1600000
34BigThings srl,1560000
Tomorrow Corporation,1550000
EfimovMax,1550000
CharlieH,1550000
Acuze Interactives,1550000
Cleverweek,1550000
Labyrinthine,1540000
Crows Crows Crows,1520000
Talentplace,1520000
IllFonic,1520000
Freshtrax,1520000
Pathea Games,1500000
Totally Games,1500000
HuniePot,1500000
Ink Stains Games,1500000
Space Cat Studios,1500000
Hothead Games,1500000
Ghost Town Games Ltd.,1500000
Indie Game Group,1500000
PiGravity,1500000
Clapfoot,1500000
Almost Human Games,1500000
Ubisoft - San Francisco,1500000
Lazy Bear Games,1500000
DR Studios,1500000
4 Head Studios,1500000
The Quantum Astrophysicists Guild,1500000
Abbey Games,1500000
Power of 2,1500000
Codename Entertainment Inc.,1500000
Krillbite Studio,1500000
The Creative Assembly,1500000
16bit Nights,1500000
Capcom Vancouver,1500000
Keen Games,1500000
Pixonic,1500000
Black Forest Games,1490000
FreezeNova,1460000
Rail Slave Games,1440000
Krome Studios,1440000
Gremlin Interactive,1440000
Q-Games Ltd.,1390000
"Yuke's Co., LTD",1350000
Ino-Co Plus,1340000
Bithell Games,1320000
HFM Games,1320000
Love in Space,1320000
Team 6 Studios,1310000
Little Green Men Games,1300000
Red Storm Entertainment,1300000
Deck 13,1270000
Shiver Games,1270000
André Bertaglia,1260000
Nomad Games,1250000
Vanguard Games,1250000
Bedtime Digital Games,1250000
PlayWay S.A.,1250000
Flump Studios,1250000
NGD Studios,1250000
Blazing Griffin,1250000
Crackshell,1250000
Milkstone Studios,1250000
Panoramik Inc,1240000
Ripknot Systems,1240000
Days of Wonder,1220000
ClockStone,1220000
Tribute Games Inc.,1220000
Unusualsoft,1220000
Eden Industries,1200000
SmashGames,1200000
Fullbright,1200000
343 Industries,1200000
Defiant Development,1200000
Stainless Games Ltd,1200000
Riviysky,1200000
Troika Games,1200000
Pragmatix Ltd,1200000
MinMax Games Ltd.,1200000
Delusional Games,1200000
Tango Gameworks,1200000
Evgeny Shcherbakov,1200000
Katauri Interactive,1200000
ONEONE1,1200000
Spiders,1200000
Blue Isle Studios,1200000
Ubisoft  Shanghaï,1200000
Dennis Esie,1200000
Reiza Studios,1170000
Milestone S.r.l.,1170000
The Irregular Corporation,1150000
Black Pants Studio,1150000
Meridian4,1150000
Matthew Brown,1140000
Digital Leisure Inc.,1140000
EHTechnology,1130000
Fireproof Games,1120000
Aldorlea Games,1120000
Badru,1120000
Cold Beam Games,1120000
Dieselmine,1120000
Star Vault AB,1120000
Big Robot Ltd,1120000
Zoe Vartanian,1120000
KING Art,1120000
Michael Bell,1120000
Sunlight Games,1100000
Failbetter Games,1100000
Warm Lamp Games,1100000
K Bros Games,1100000
Isa Hutchinson,1100000
Dan Fornace,1100000
"BitMonster, Inc.",1100000
Mimimi Productions,1100000
Idigicon,1100000
Weappy Studio,1100000
Mommy's Best Games,1100000
Numantian Games,1100000
Rogue Entertainment,1100000
Azerion,1100000
Kunos Simulazioni,1100000
GRASSHOPPER MANUFACTURE INC.,1090000
Crystal Shard,1080000
"Nikita ""Ghost_RUS""",1080000
Messhof,1070000
Mode 7,1070000
"Jundroo, LLC",1070000
Black Lime Studio,1070000
azimut team,1060000
Zoom Out Games,1060000
For Kids,1060000
10tons Ltd,1060000
Blender Games,1060000
U-Play Online,1060000
vikingfabian.com,1060000
General Arcade,1060000
KillHouse Games,1050000
Silver Dollar Games,1050000
PopTop,1050000
Robot Gentleman,1050000
Laush Dmitriy Sergeevich,1050000
Spasman Games,1050000
David Szymanski,1050000
Spark Unlimited,1050000
Boss Baddie,1050000
"Gaslamp Games, Inc.",1050000
Pendulo Studios,1050000
Snail Games USA,1050000
BANDAI NAMCO Studio Inc.,1050000
Streum On Studio,1050000
Sad Panda Studios,1050000
Stegersaurus Software Inc.,1050000
Offworld Industries,1050000
Team NINJA,1050000
4 I Lab,1040000
Proton Studio Inc,1040000
Behold Studios,1040000
Black Wing Foundation,1040000
Archive Entertainment,1040000
StarSystemStudios™,1030000
VIS-Games,1030000
Empyrean,1020000
Idol FX,1020000
Alister Software,1020000
Akakiy Petrushkin,1020000
Light Bringer Games inc.,1020000
KAGAMI WORKs,1020000
Rainbow Games,1020000
2Play,1020000
Svarog Studios,1020000
S.C. 16 BIT NIGHTS S.R.L.,1020000
The Game Bakers,1020000
Flippfly LLC,1020000
Rogue Snail,1020000
Charyb Games,1020000
Armature Studio,1020000
Eutechnyx,1020000
Mad Otter Games,1020000
hyperboreanGames,1020000
Onyx Lute,1020000
Blendo Games,1020000
"Laser Guided Games, LLC",1020000
Yacht Club Games,1020000
Behaviour Interactive Inc.,1020000
FIVE-BN GAMES,1010000
Entrada Interactive LLC,1000000
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",1000000
Heart Machine,1000000
Poxpower,1000000
Holotech Studios,1000000
Scavengers Studio,1000000
NEXT Studios,1000000
Shokunin,1000000
Lightning Man Media,1000000
Lightmare Studios,1000000
Gray Matter Studios,1000000
Six Foot,1000000
Octoshark Studios,1000000
Capybara,1000000
Naddic Games,1000000
KIXEYE,1000000
HyperReuts,1000000
ICE Entertainment,1000000
Divine Games,1000000
Kloonigames,1000000
The Molasses Flood,1000000
Urban Games,1000000
Hemisphere Games,1000000
Vincent Thiele,1000000
RedCandleGames,1000000
Kojima Productions,1000000
Double Damage Games,1000000
"Nippon Ichi Software, Inc.",1000000
FantaBlade Network,1000000
Redbeet Interactive,1000000
TT Games Ltd,1000000
Codemasters Studios,1000000
Holy Priest,1000000
38 Studios,1000000
Abrakam SA,1000000
Senscape,1000000
Axolot Games,1000000
Titan Studio,1000000
League of Geeks,1000000
Dambuster Studios,1000000
Naarassusi Game,1000000
Secret Exit Ltd.,1000000
Hoplon,1000000
HL-Galgame,1000000
Michael Zahniser,1000000
Landon Podbielski,1000000
Katauri,1000000
Lapovich,1000000
"WildWorks, Inc.",1000000
